# id	left	top	right	bottom	texture_id
[SPRITES]
#####  FLY ###############
#IDLE
13121	212	443	234	471	1
13111	173	443	195	471	1

#WALKING RIGHT
13222	262	443	284	471	1
13223	291	443	315	471	1

#WALKING LEFT
13212	122	443	144	471	1
13213	92	443	116	471	1

#RUNNING RIGHT
13321	211	523	235	551	1
13322	251	523	275	551	1
13323	291	523	315	551	1

#RUNNING LEFT
13311	171	523	195	551	1
13312	131	523	155	551	1
13313	91	523	115	551	1

#BRACE RIGHT & LEFT 
13623	215	482	231	512	1
13613	175	482	191	512	1

#JUMP WALK RIGHT & LEFT
13417	331	443	355	471	1
13413	52	443	76	471	1

#JUMP RUN RIGHT & LEFT
13427	331	603	355	631	1
13423	51	603	75	631	1

#SIT RIGHT & LEFT 
13521	372	448	394	466	1
13511	12	448	34	466	1

#SLOW FALL
13621	211	603	235	631	1
13622	252	603	274	631	1

13611	172	603	196	631	1
13612	132	603	154	631	1

#FLY RIGHT
13721	291	603	315	631	1
13711	331	603	355	631	1

#FLY LEFT
13722	91	603	115	631	1
13712	51	603	75	631	1

#ATTACK
13811	355	483	371	511	1
13821	390	483	406	511	1
13812	236	443	260	471	1
13822	147	443	171	471	1


#####  BIG ###############
#IDLE
11121	216	243	230	271	1
11111	176	243	190	271	1

#WALKING RIGHT
11222	255	243	271	271	1
11223	295	244	311	270	1

#WALKING LEFT
11212	135	243	151	271	1
11213	95	244	111	270	1

#RUNNING RIGHT
11321	213	323	233	351	1
11322	253	323	273	351	1
11323	293	324	313	350	1

#RUNNING LEFT
11311	174	323	194	351	1
11312	134	323	154	351	1
11313	94	324	114	350	1

#JUMP WALK RIGHT
11417	335	244	351	270	1
11413	55	244	71	270	1

#JUMP RUN RIGHT & LEFT
11427	333	364	353	390	1
11423	54	364	74	390	1

#SIT RIGHT & LEFT 
11521	376	248	390	266	1
11511	16	248	30	266	1

#BRACE RIGHT & LEFT 
11621	215	283	231	311	1
11611	175	283	191	311	1

#DIE
13001	375	209	391	225	1

############ SMALL ################
 #IDLE
12121	217	89	229	105	1
12111	177	89	189	105	1

#WALK RIGHT
12222	255	169	271	185	1
12223	256	89	272	105	1

#WALK LEFT
12212	135	169	151	185	1
12213	135	89	151	105	1

#RUN RIGHT
12321	255	169	271	185	1
12322	256	89	272	105	1
12323	215	169	231	185	1

#RUN LEFT
12311	135	169	151	185	1
12312	135	89	151	105	1
12313	175	169	201	185	1

#BRACE RIGHT & LEFT
12511	216	129	230	145	1
12521	176	129	190	145	1

#JUMP WALK RIGHT & LEFT 
12417	335	89	351	105	1
12413	55	89	71	105	1

#JUMP RUN RIGHT & LEFT 
12427	215	209	231	225	1
12423	175	209	191	225	1

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
400	11121	100
401	11111	100

#WALKING RIGHT & LEFT 
500	11121	100	11222	100	11223	100
501	11111	100	11212	100	11213	100

#RUNNING RIGHT & LEFT
600	11321	40	11322	40	11323	40
601	11311	40	11312	40	11313	40

#JUMP WALK
700	11417	100
701	11413	100

#JUMP RUN
800	11427	100
801	11423	100

#SIT RIGHT & LEFT 
900	11521	100
901	11511	100

#BRACE RIGHT & LEFT 
1000	11621	100
1001	11611	100

#DIE
999	13001	100

################### SMALL #################
1100	12121	100
1102	12111	100


#WALK LEFT & RIGHT 
1200	12121	100	12222	100	12223	100
1201	12111	100	12212	100	12213	100

#RUN LEFT & RIGHT
1300	12321	40	12322	40	12323	40
1301	12311	40	12312	40	12313	40

#BRACE LEFT & RIGHT
1401	12511	100
1400	12521	100

#JUMP WALK
1500	12417	100
1501	12413	100

#JUMP RUN 
1601	12423	100
1600	12427	100

################### FLY #################
#IDLE
2100	13121	100
2101	13111	100


#WALK LEFT & RIGHT 
2200	13121	100	13222	100	13223	100
2201	13111	100	13212	100	13213	100

#RUN LEFT & RIGHT
2300	13321	40	13322	40	13323	40
2301	13311	40	13312	40	13313	40

#BRACE LEFT & RIGHT
2400	13623	100
2401	13613	100

#JUMP WALK
2500	13417	100
2501	13413	100

#JUMP RUN 
2601	13712	100	13722	100	13423	100
2600	13711	100	13721	100	13427	100

#SLOW FALL
2902	13621	100
2903	13611	100

#SIT RIGHT & LEFT 
2900	13521	100
2901	13511	100

#ATTACK RIGHT
2904	13812	10	13811	10	13822	200	13821	10
2905	13822	10	13811	10	13812	200	13821	10

#RELASE JUMP
2906	13622	100
2907	13612	100
